Date,Dove Core SGL EC Volume,Dove Core SGL EC Average Price,Dove Core SGL EC CPP Promotion,Dove PW ECP Promotion,Dove PW MSP TV GRP,Dove PW MSP OOH,Dove PW MSP Pre-roll,Dove PW CDS Digital,Dove PW CDS Social,Dove PW PFM CPS,Dove PW PFM Livestream,Dove PW PFM Others,Dove Haircare MSP Pre-roll,Dove Haircare CDS Social,Dove Haircare PFM CPS,Dove Haircare PFM Livestream,Dove Haircare PFM Others,Comp Price- Retail,Comp Price- EC
 Jun-20,949024.34,35.7388094,0,3081997.47,38.13517315,550800,2178631.08,750000,6793339.64,1663649.63,2050089.7,8968891.84,3728815.75,4807890.49,1113625.4,782718.75,7259610.54,40.28198352,41.15676226
 Jul-20,524436.18,35.75840248,2873657.79,2792025.19,93.9921101,1111494,4366528.66,0,1576171.41,821277,380290.3,5560015.06,5852107.88,277930.94,115646,51767.94444,3979472.28,41.57487807,40.20882943
 Aug-20,602391.345,36.09945624,5536641.22,2385536.58,0,0,0,0,2423395.3,1037470,380290.3,2518158.28,2435483.7,249672.4,122080,51767.94254,2734178.75,41.53742045,43.18259436
 Sep-20,701735.535,36.35130149,17366159.24,7802506.87,46.92041947,943704,3924235.27,0,4264551.7,1067191.87,9744733.9,3610157.5,3744211.9,2224054.41,905547.97,228501.3183,3296125.2,41.08323995,44.80742932
 Oct-20,688406.884,34.53480863,6636967.064,5186944.54,62.41974571,1061232,3820009.96,2000000,5634426.65,4903889.769,132771.7028,11711356.86,1817186.24,8710677.14,2950305.989,82383.09714,7228756.33,41.47239765,40.48716842
 Nov-20,1573930.464,33.92907198,417871.4861,3951131.73,57.00942536,554273,3833650.4,800000,5010944.19,3143850.271,275774.3656,7424544.681,1703612.42,7507320.21,2171760.391,188246.3176,7015712.82,41.60705934,42.37365814
 Dec-20,514891.59,36.12605131,0,2652739.61,0,0,0,0,2138408.01,359145.4,0,5435564.96,0,313802.52,0,0,1576697.42,41.90135085,45.81196257
 Jan-21,582577.18,36.05015905,7221597.87,2707757.82,65.52775415,512080,3811606.62,0,676336.11,624024.44,248176.8176,5808354.67,0,401416.19,490549.06,294.8554624,1880290.16,38.92731078,43.74699076
 Feb-21,371354.2,35.59135725,2077960.46,2435848.27,0,0,0,0,1028640.01,548004.34,274844.914,3015473.07,0,2046054.06,95954.05,326.6345376,1636910.31,42.07321423,46.58012473
 Mar-21,763539.13,37.05638505,3741330.46,1850549.99,53.46901608,512080,3279755.96,0,1808108.89,1029219.54,0,5038365.41,2683249.8,6417222.12,166022.35,0,2195299.51,40.42187518,44.67458285
 Apr-21,508535.33,37.24421664,5764109.18,5598127.74,0,0,906344.37,0,2177204.65,873172.96,1467576.92,3398853.77,1601328.27,2618363.37,693071.8092,680056.48,2763073.37,41.87466865,45.39500247
 May-21,689188.535,37.84740847,9690343.7,6650617.44,73.01929549,0,4269262.68,104838.71,2231565.76,609592.15,816927.85,9269143.7,3578198.19,6260120.372,957330.8208,1547158.5,5215407.02,41.31043289,41.76081912
 Jun-21,1352226.135,32.19579838,3490325.7,3323446.47,1.994041786,0,4062621.94,145161.29,2740658.61,3699415.37,2631378.4,8727835.01,1731880.16,7294997.06,0,1481818.09,3250318.62,40.75847367,38.68124778
 Jul-21,549552.28,36.84089892,1457870.25,3376389.41,0,0,0,17706.67,2638972.69,1215392.43,1440494.72,3152833.7,2052089.06,478396.27,684646.37,415370.23,3194600.76,41.45905901,44.87115541