Date,Lux Core Premium Offline Volume,Lux Haircare MSP TV GRP,Safeguard PW CDS Digital,Lux Premium Bar Offline Average Price,Lux Premium Bar Offline TDP Distribution,Lux Premium Offline BB-Retail Promotion,Lux PW CDP Promotion,Lux Others Offline CPP Promotion,Lux Others Offline TCP+DM Promotion,Lux PW MSP Pre-roll,Lux PW MSP OOH,Lux PW CDS Digital,Lux PW CDS Social,Comp Price- EC,Comp Price- Retail
 Jun-20,5971.431,0,8386800,88.13338042,18,395510.89,14673113.18,3097268.96,182807.44,6033536.5,1686381.28,200000,3061586.24,31.85591563,42.10956753
 Jul-20,7981.502,0,3585000,81.25789482,19,15321.73,13292808.08,3418792.54,193980.02,5926475.53,1555908,0,1018090.98,33.5526799,42.74898404
 Aug-20,8394.342,0,1880200,81.89288928,17,166203.66,14512187.62,3639249.28,179507.61,7129983.94,2200548,0,2017008.33,33.69726979,42.76010457
 Sep-20,7449,34.64306882,5492600,82.67289166,17,57382.15,16277889.02,4049859.51,164914.78,5798056.101,1354254,0,1626998.93,35.53881448,42.68218877
 Oct-20,6003.691,93.34773815,6556200,89.20026697,16,207679.86,13860475.57,3300639.89,81292.87,5172453.12,1478975.59,28507.14,1674799.43,32.85394668,44.17759866
 Nov-20,5408.358,82.49794347,10419800,82.04271056,14,16890.67,12000230.89,3364911.9,143377.37,7638065.2,1281030.63,771492.86,1520909.49,32.48005082,45.2242072
 Dec-20,5248.23,160.1766593,6877600,79.12847951,12,893408.23,16416550.33,3185288.92,192690.26,0,0,0,941290.13,35.46758595,44.58654684
 Jan-21,3988.619,106.9851426,902400,74.69934581,13,9560.3,9442097.01,3319246.64,96934.6,5713989.172,732100.29,62372.88,1665946.73,34.32972526,40.97059955
 Feb-21,3315.518,5.107995618,1274500,81.21666056,12,0,12461029.95,1192880.03,50000,0,0,75932.2,365815.82,34.56042441,43.94589426
 Mar-21,3565.686,92.25675412,1001400,80.66802012,11,292786.98,13001826.58,2406717.86,101164.19,5652879.93,730930.33,21694.92,4493456.39,34.73712488,42.03436112
 Apr-21,2522.158,70.30949823,42300,74.61875505,9,164947.46,11604292.33,2611553.01,90089.05,5584506.08,578116.33,0,840595.41,33.67896738,43.09800884
 May-21,2388.017,0,851500,77.18804766,8,51948.31,14870444.23,2432872.45,117874.28,5355955.18,578116.33,300000,1893157,32.0530907,42.27092043
 Jun-21,2124.547,58.6144989,1512100,77.59947415,6,51121.09,13592197.72,3240338.93,137983.62,5816482.29,628076.33,0,3215908.28,31.24944606,41.15638341
 Jul-21,2011.811,49.01435687,0,79.77099738,5,64119.67,12195686.16,2786434.43,109458.46,4818880.256,375732,0,306679.24,31.73365875,41.78288948