Date,Lux Core Offline Volume,Lux Core Shampoo Offline Average Price,Comp Price-Retail,Comp Price-EC,Lux Core Shampoo Offline TDP Distribution,Lux Core Offline BB-Retail,Lux Haircare CDP Promotion,Lux Core Shampoo Offline CPP Promotion,Lux Core Shampoo Offline TCP+DM Promotion,Lux Haircare MSP TV GRP,Lux Haircare MSP OOH,Lux Haircare MSP Pre-roll,Lux Haircare CDS Social,Lux PW MSP TV GRP,Lux PW CDS Social,Lux PW MSP Pre-roll
 Jun-20,656019.968,59.52340768,86.08963673,45.10428679,319,1424516.09,2705026.89,9568718.47,1009067.67,0,0,0,5415443.05,82.69534859,3061586.24,6033536.5
 Jul-20,597725.632,62.79464355,85.11342809,48.51759166,332,1419527.516,2167626.41,9137455.59,1113159.55,0,0,0,55355.83,102.3244404,1018090.98,5926475.53
 Aug-20,679335.744,61.32482262,85.7482852,47.76213022,345,2227583.876,2732967.11,10463635.03,1021319.49,0,2620558.36,2444602.31,172198.9,91.49909529,2017008.33,7129983.94
 Sep-20,685131.648,61.17073138,85.70086491,49.88436709,360,1248547.806,2904062.64,11571831.67,1543794.03,34.64306882,271934.72,3260502.43,3404431.99,59.68370968,1626998.93,5798056.101
 Oct-20,662061.504,62.70838547,85.51792131,55.78804005,354,1310099.35,2330273.09,12550369.55,369293.76,93.34773815,1469098.17,3745056.95,6052214.69,101.5058422,1674799.43,5172453.12
 Nov-20,619455.36,60.8686379,86.07600598,46.84699041,332,2863109.44,2289335.71,9817792.04,597451.48,82.49794347,103262.75,2642852.18,8833399.58,231.8971459,1520909.49,7638065.2
 Dec-20,544878.784,61.30326043,85.98304756,51.22505791,291,3194596.43,2508324.63,11951417.83,1137682.47,160.1766593,234560,3232438.51,336192.16,12.23394376,941290.13,0
 Jan-21,647142.336,58.45303868,81.61482793,48.53268191,372,1243077.526,1981940.91,16530034.91,872072.58,106.9851426,575266,3381018.27,4000,123.6717237,1665946.73,5713989.172
 Feb-21,640365.056,61.08803663,86.78368993,51.29377911,319,1959795.537,2586877.4,5955875.76,728159.73,5.107995618,0,0,1442370.87,17.92160746,365815.82,0
 Mar-21,765514.496,59.6583399,84.08322573,48.62985985,360,3651058.593,2427628,10891023.09,660056.91,92.25675412,561802,3058914.55,1673223.64,122.5175669,4493456.39,5652879.93
 Apr-21,617246.4,61.01251623,87.82799412,51.66593665,302,1454059.263,2230775,8272755.69,492757.81,70.30949823,295306.66,1543640.93,1388066.22,137.1629025,840595.41,5584506.08
 May-21,580145.792,62.44661342,86.05923643,51.57745773,310,578212.5324,2660095.34,7258025,425415.81,0,0,0,2139528.55,109.6814359,1893157,5355955.18
 Jun-21,592581.696,61.94968263,86.20182907,48.3468199,317,4140150.883,2427979.09,8407732.58,913548.31,58.6144989,525382.95,1569632.76,3958981.05,98.73671505,3215908.28,5816482.29
 Jul-21,657379.264,60.8923314,84.44358755,54.11643023,341,2554540.09,2394565.98,8798968.7,640980.55,49.01435687,36419.05,1471531.06,821001.41,109.2156454,306679.24,4818880.256