Date,Dove Premium (Dogma) SGL Offline,Dove PW MSP TV GRP,Dove Haircare MSP TV GRP,Dove Premium (Dogma) BB-Retail Promotion,Dove Premium (Dogma) SGL Offline Average Price,Dove Premium (Dogma) SGL Offline TDP Distribution,Dove Premium (Dogma) SGL Offline CPP Promotion,Dove Premium (Dogma) SGL Offline TCP+DM Promotion,Dove PW CDP Promotion,Dove PW CDS Digital,Dove PW CDS Social,Dove PW MSP OOH,Dove PW MSP Pre-roll,Comp Price- Retail,Comp Price- EC
 Jun-20,32109.733,38.13517315,115.3667636,0,68.87867271,68,595175.95,114428.7372,4583810.43,750000,6793339.64,550800,2178631.08,40.77730886,31.36598043
 Jul-20,33790.08,93.9921101,91.84034936,0,73.40223077,66,572313.68,83169.46908,4187804.85,0,1576171.41,1111494,4366528.66,41.15918846,32.54998797
 Aug-20,35162.235,0,76.28512623,0,72.6873306,65,617257.44,42305.52,5276372.51,0,2423395.3,0,0,41.15115699,34.02347218
 Sep-20,45701.615,46.92041947,117.1630332,27577.48,68.98636558,67,1202863.29,95070.49,4951621.54,0,4264551.7,943704,3924235.27,41.09375647,36.52606539
 Oct-20,35465.809,62.41974571,50.78073236,1666.53,73.22773548,66,528282.27,164074.56,4364937.42,2000000,5634426.65,1061232,3820009.96,41.93024994,32.61572956
 Nov-20,31940.002,57.00942536,67.52271696,189824.99,70.41627267,61,707281.83,45533.6,4117370.39,800000,5010944.19,554273,3833650.4,41.66180525,33.62543623
 Dec-20,30765.351,0,0,19069,67.56582884,53,799098.37,45371.52,5747089.13,0,2138408.01,0,0,42.36886886,36.18701959
 Jan-21,37958.623,65.52775415,0,8665,63.86202576,69,732929.6,83123.16,3315375.72,0,676336.11,512080,3811606.62,38.98408761,34.53108681
 Feb-21,23965.9,0,0,0,71.68012718,58,422308.76,86026.64,4276889.97,0,1028640.01,0,0,41.45872903,36.70022917
 Mar-21,33053.62,53.46901608,101.6884361,0,69.12345607,69,1003526.3,99558.2,4436410.91,0,1808108.89,512080,3279755.96,40.71442166,35.7066357
 Apr-21,27973.163,0,59.18194889,657508.2163,72.26609626,64,955353.48,192806.06,4089415.12,0,2177204.65,0,906344.37,41.16815796,35.07545708
 May-21,46687.753,73.01929549,131.2139527,377728.2737,66.92749617,69,1221509.96,39650.49,4806914.85,104838.71,2231565.76,0,4269262.68,40.89371387,31.71361245
 Jun-21,40669.149,1.994041786,57.21342152,0,70.52771279,71,1083831.64,165328.81,4600123.19,145161.29,2740658.61,0,4062621.94,40.43154424,30.60965421
 Jul-21,55473.765,0,82.21159561,0,69.17646639,76,1089898.49,322500.71,4348124.81,17706.67,2638972.69,0,0,40.80258437,29.86793762