Date,Lux Premium SGL EC Volume,Lux Premium SGL EC Average Price,Lux PW MSP TV GRP,Lux Haircare PFM Livestream,Lux Premium SGL EC CPP Promotion,Lux PW CDS Digital,Lux PW CDS Social,Lux PW MSP OOH,Lux PW MSP Pre-roll,Lux PW PFM CPS,Lux PW PFM Livestream,Lux PW PFM Others,Comp Price-Retail,Comp Price-EC
 Jun-20,280511.93,52.01204812,82.69534859,682515.21,0,200000,3061586.24,1686381.28,6033536.5,2795614.3,2139862.27,15892076.84,40.27120129,69.90123462
 Jul-20,115025.65,64.53343233,102.3244404,100823.71,583604.24,0,1018090.98,1555908,5926475.53,1107213,269148.83,6084065.56,40.56567092,63.92667066
 Aug-20,137835.69,65.21532993,91.49909529,100823.71,1124215.93,0,2017008.33,2200548,7129983.94,1557394.13,269148.83,2120273.28,40.78343594,82.57443822
 Sep-20,184543.23,67.83234476,59.68370968,2005003.32,3849000.34,0,1626998.93,1354254,5798056.101,641122.26,2146034.39,4821160.47,40.91186003,87.58310456
 Oct-20,109696.17,66.17368683,101.5058422,749380.11,2252602.76,28507.14,1674799.43,1478975.59,5172453.12,3270158.47,672049.11,8667517.343,41.08408301,84.55184994
 Nov-20,360744.29,61.49508285,231.8971459,778233.94,529819.83,771492.86,1520909.49,1281030.63,7638065.2,2886902.08,1752536.37,11879833.19,40.86049241,83.82118561
 Dec-20,95354.9,55.77060015,12.23394376,1390726.51,1127057.54,0,941290.13,0,0,1660658.04,1400019.11,5007656.5,41.44922652,84.79623566
 Jan-21,83173.68,59.87471037,123.6717237,415191.76,1238866.71,62372.88,1665946.73,732100.29,5713989.172,597193.23,624758.81,3688031.99,38.78022772,75.72573584
 Feb-21,71866.24,61.7953576,17.92160746,461708.86,0,75932.2,365815.82,0,0,563591.75,689320.22,3748519.09,41.16581458,82.7767732
 Mar-21,135294.7,71.92447302,122.5175669,2648123.43,202151.43,21694.92,4493456.39,730930.33,5652879.93,1229872.96,1537265.91,8206649.06,40.47076686,98.55443887
 Apr-21,111997.87,60.84044277,137.1629025,748379.08,568529.5693,0,840595.41,578116.33,5584506.08,955010.75,1178188.16,6391676.83,41.14402864,98.15675331
 May-21,119468.24,57.89823304,109.6814359,8827954.38,1666088.544,300000,1893157,578116.33,5355955.18,715087.69,2231836.76,13261168.8,40.80148051,86.73227815
 Jun-21,224844.15,51.23104159,98.73671505,3264478.35,272775.7768,0,3215908.28,628076.33,5816482.29,3932898.71,1623883.2,11608091.45,40.62186852,64.62600718
 Jul-21,122109.04,57.84174538,109.2156454,1207907.09,0,0,306679.24,375732,4818880.256,1369115.63,1156876.57,7417092.26,40.69847178,67.5644151