Date,Dove Premium Offline Volume,Dove Premium Shampoo Offline Average Price,Comp Price-Retail,Comp Price-EC,Dove Premium Shampoo Offline TDP Distribution,Dove Premium Offline BB-Retail,Dove Premium Shampoo Offline CPP Promotion,Dove Premium Shampoo Offline TCP+DM Promotion,Dove Haircare CDP Promotion,Dove Haircare MSP TV GRP,Dove Haircare MSP OOH,Dove Haircare MSP Pre-roll,Dove Haircare CDS Social,Dove PW CDS Social,Dove PW MSP Pre-roll
 Apr-20,45945.556,97.2775256,72.75435225,57.11798745,97,1314507.267,1650877.98,533139.87,2529000.31,197.9519113,743583,1738286.6,1559011.76,2047044.01,0
 May-20,73169.656,95.09638804,71.13454192,54.19945426,100,1139609.107,1023538.02,471378.28,2712059.54,10.25654912,0,3728815.75,1469924.33,0,4757238.84
 Jun-20,60641.564,94.25445393,71.57292647,56.08471983,95,1139609.107,1237358.06,443991.95,2856774.37,115.3667636,1182759.28,3728815.75,4807890.49,6793339.64,2178631.08
 Jul-20,67953.624,93.92897868,70.61325981,57.77755519,103,1085724.425,1219712.26,241904.72,2482950.54,91.84034936,887441,5852107.88,277930.94,1576171.41,4366528.66
 Aug-20,75410.536,92.55723895,65.09441226,55.71460998,101,1458918.925,1922021.75,258623.52,3661166.24,76.28512623,538587,2435483.7,249672.4,2423395.3,0
 Sep-20,72954.384,95.21248236,71.07338775,58.73476487,105,1670002.925,2188115.06,574936.94,2949751.62,117.1630332,953394,3744211.9,2224054.41,4264551.7,3924235.27
 Oct-20,67605.416,96.57417832,68.76040589,53.71410317,104,1377036.9,2603172.66,242922.73,2420669.72,50.78073236,859379.24,1817186.24,8710677.14,5634426.65,3820009.96
 Nov-20,56777.012,92.9919137,68.49674742,51.01585803,96,1035345.07,1736862.57,185416.99,2444898.37,67.52271696,90723.43,1703612.42,7507320.21,5010944.19,3833650.4
 Dec-20,47282.012,92.42470477,69.17298036,61.19930153,79,1076393.48,1638234.15,348139.12,3185551.96,0,0,0,313802.52,2138408.01,0
 Jan-21,51578.736,93.62439591,66.65801784,54.20345063,104,843015.1308,1771712.55,387776.22,1760912.87,0,0,0,401416.19,676336.11,3811606.62
 Feb-21,51518.308,99.06159962,72.65867392,56.40918781,87,552600,944568.11,271701.18,2342663.93,0,0,0,2046054.06,1028640.01,0
 Mar-21,84450.328,93.02535805,70.85388453,61.68254534,102,511265.97,2368735.93,361062.27,2342968.23,101.6884361,858673.33,2683249.8,6417222.12,1808108.89,3279755.96
 Apr-21,59797.808,92.74561536,72.2852696,59.59373401,86,561264.72,2052339.48,351597.95,2004941.15,59.18194889,0,1601328.27,2618363.37,2177204.65,906344.37
 May-21,61733.544,92.97818703,71.26935617,57.70382567,91,561264.72,1415414.62,138298.79,2422700.75,131.2139527,648263,3578198.19,6260120.372,2231565.76,4269262.68
 Jun-21,55195.528,96.4246415,72.09456636,49.56522669,92,611264.72,1659894.26,175346.5,2232064.75,57.21342152,264448,1731880.16,7294997.06,2740658.61,4062621.94
 Jul-21,69392.888,96.31855213,71.93317053,60.25062047,96,847541.46,1447658.86,527492.84,2143763.37,82.21159561,647196.33,2052089.06,478396.27,2638972.69,0